size,density,noise_level,negative_values,execution_time,reachable_nodes,unreachable_nodes,avg_distance,max_distance,min_distance
50,0.2,0,True,0.0007555484771728516,49,0,782.5714285714286,1127.0,110.0
50,0.2,0.1,False,0.00054168701171875,49,0,884.9387755102041,1323.0,127.0
50,0.2,0.1,True,0.0004897117614746094,49,0,681.8979591836735,1032.0,44.0
50,0.2,0.5,False,0.0005335807800292969,49,0,1220.8979591836735,1739.0,196.0
50,0.2,0.5,True,0.0005176067352294922,49,0,401.2244897959184,937.0,27.0
50,0.2,0.8,False,0.0006229877471923828,49,0,1442.0204081632653,2004.0,247.0
50,0.2,0.8,True,0.0006191730499267578,49,0,226.16326530612244,867.0,5.0
50,0.5,0,False,0.000598907470703125,49,0,469.53061224489795,866.0,110.0
50,0.5,0,True,0.0006725788116455078,49,0,469.53061224489795,866.0,110.0
50,0.5,0.1,False,0.0007152557373046875,49,0,536.6734693877551,924.0,127.0
50,0.5,0.1,True,0.0006742477416992188,49,0,386.61224489795916,724.0,39.0
50,0.5,0.5,False,0.0007266998291015625,49,0,737.6734693877551,1180.0,196.0
50,0.5,0.5,True,0.00077056884765625,49,0,81.20408163265306,394.0,1.0
50,0.5,0.8,False,0.0007469654083251953,49,0,859.0408163265306,1307.0,247.0
50,0.5,0.8,True,0.0008232593536376953,49,0,97.18367346938776,622.0,4.0
50,0.8,0,False,0.0009562969207763672,49,0,455.59183673469386,866.0,110.0
50,0.8,0,True,0.0008988380432128906,49,0,455.59183673469386,866.0,110.0
50,0.8,0.1,False,0.001046895980834961,49,0,501.6530612244898,899.0,127.0
50,0.8,0.1,True,0.0010166168212890625,49,0,354.6530612244898,695.0,39.0
50,0.8,0.5,False,0.0009698867797851562,49,0,647.3673469387755,1058.0,196.0
50,0.8,0.5,True,0.001299142837524414,49,0,54.30612244897959,173.0,1.0
50,0.8,0.8,False,0.0009605884552001953,49,0,735.7142857142857,1164.0,247.0
50,0.8,0.8,True,0.0009152889251708984,49,0,58.40816326530612,158.0,1.0
50,1.0,0,False,0.0008740425109863281,49,0,445.2040816326531,866.0,56.0
50,1.0,0,True,0.0010941028594970703,49,0,445.2040816326531,866.0,56.0
50,1.0,0.1,False,0.0017170906066894531,49,0,486.16326530612247,893.0,114.0
50,1.0,0.1,True,0.0015094280242919922,49,0,322.0408163265306,651.0,39.0
50,1.0,0.5,False,0.001058816909790039,49,0,618.8571428571429,1058.0,196.0
50,1.0,0.5,True,0.0008254051208496094,49,0,53.53061224489796,162.0,1.0
50,1.0,0.8,False,0.0008306503295898438,49,0,706.4897959183673,1164.0,247.0
50,1.0,0.8,True,0.0007479190826416016,48,0,42.479166666666664,134.0,1.0
100,0.2,0,False,0.002804994583129883,99,0,567.5252525252525,894.0,86.0
100,0.2,0,True,0.002924680709838867,99,0,567.5252525252525,894.0,86.0
100,0.2,0.1,False,0.001996278762817383,99,0,671.5050505050505,1088.0,155.0
100,0.2,0.1,True,0.0020873546600341797,99,0,519.9090909090909,905.0,125.0
100,0.2,0.5,False,0.0019690990447998047,99,0,1004.6767676767677,1707.0,344.0
100,0.2,0.5,True,0.0027513504028320312,99,0,176.33333333333334,628.0,6.0
100,0.2,0.8,False,0.002119779586791992,99,0,1215.080808080808,1914.0,404.0
100,0.2,0.8,True,0.001913309097290039,99,0,130.62626262626262,444.0,3.0
100,0.5,0,False,0.002269268035888672,99,0,473.17171717171715,866.0,56.0
100,0.5,0,True,0.0022115707397460938,99,0,473.17171717171715,866.0,56.0
100,0.5,0.1,False,0.002198934555053711,99,0,533.3232323232323,923.0,110.0
100,0.5,0.1,True,0.002219676971435547,99,0,349.45454545454544,620.0,63.0
100,0.5,0.5,False,0.0021483898162841797,99,0,706.939393939394,1112.0,314.0
100,0.5,0.5,True,0.0022721290588378906,98,0,47.57142857142857,185.0,1.0
100,0.5,0.8,False,0.002214193344116211,99,0,802.6767676767677,1243.0,334.0
100,0.5,0.8,True,0.002284526824951172,98,0,42.183673469387756,148.0,1.0
100,0.8,0,False,0.002398252487182617,99,0,467.57575757575756,866.0,56.0
100,0.8,0,True,0.0024988651275634766,99,0,467.57575757575756,866.0,56.0
100,0.8,0.1,False,0.0025148391723632812,99,0,503.14141414141415,906.0,110.0
100,0.8,0.1,True,0.0025930404663085938,99,0,242.46464646464648,447.0,38.0
100,0.8,0.5,False,0.002524852752685547,99,0,604.020202020202,977.0,181.0
100,0.8,0.5,True,0.002536773681640625,96,0,33.864583333333336,118.0,1.0
100,0.8,0.8,False,0.002531290054321289,99,0,662.989898989899,1092.0,223.0
100,0.8,0.8,True,0.002569913864135742,97,0,33.28865979381443,149.0,1.0
100,1.0,0,False,0.002642393112182617,99,0,466.17171717171715,866.0,56.0
100,1.0,0,True,0.0027375221252441406,99,0,466.17171717171715,866.0,56.0
100,1.0,0.1,False,0.0027589797973632812,99,0,497.47474747474746,898.0,110.0
100,1.0,0.1,True,0.002824544906616211,99,0,212.77777777777777,403.0,38.0
100,1.0,0.5,False,0.0027303695678710938,99,0,591.4545454545455,958.0,181.0
100,1.0,0.5,True,0.0028395652770996094,98,0,25.918367346938776,91.0,1.0
100,1.0,0.8,False,0.002779245376586914,99,0,649.2424242424242,1006.0,223.0
100,1.0,0.8,True,0.00273895263671875,96,0,26.09375,88.0,1.0
200,0.2,0,False,0.006853342056274414,199,0,508.36180904522615,866.0,56.0
200,0.2,0,True,0.007016658782958984,199,0,508.36180904522615,866.0,56.0
200,0.2,0.1,False,0.0071086883544921875,199,0,594.6834170854271,953.0,76.0
200,0.2,0.1,True,0.007112979888916016,199,0,460.5527638190955,741.0,119.0
200,0.2,0.5,False,0.006796836853027344,199,0,834.4723618090452,1366.0,153.0
200,0.2,0.5,True,0.007043361663818359,197,0,74.84771573604061,361.0,1.0
200,0.2,0.8,False,0.007112264633178711,199,0,970.4572864321608,1528.0,211.0
200,0.2,0.8,True,0.007710695266723633,197,0,66.04568527918782,309.0,1.0
200,0.5,0,False,0.008702993392944336,199,0,463.80904522613065,866.0,56.0
200,0.5,0,True,0.008584737777709961,199,0,463.80904522613065,866.0,56.0
200,0.5,0.1,False,0.00872802734375,199,0,521.1608040201005,939.0,76.0
200,0.5,0.1,True,0.009064674377441406,199,0,200.69346733668343,393.0,9.0
200,0.5,0.5,False,0.008855104446411133,199,0,674.4824120603015,1089.0,153.0
200,0.5,0.5,True,0.010147333145141602,190,0,23.694736842105264,109.0,1.0
200,0.5,0.8,False,0.008432149887084961,199,0,761.8140703517588,1169.0,211.0
200,0.5,0.8,True,0.009511232376098633,194,0,24.103092783505154,105.0,1.0
200,0.8,0,False,0.010712146759033203,199,0,459.02010050251255,866.0,41.0
200,0.8,0,True,0.009841203689575195,199,0,459.02010050251255,866.0,41.0
200,0.8,0.1,False,0.010620832443237305,199,0,496.52261306532665,913.0,76.0
200,0.8,0.1,True,0.011170387268066406,199,0,77.44221105527639,195.0,2.0
200,0.8,0.5,False,0.010128498077392578,199,0,600.7236180904523,1014.0,153.0
200,0.8,0.5,True,0.010718345642089844,184,0,15.195652173913043,69.0,1.0
200,0.8,0.8,False,0.00971221923828125,199,0,660.8693467336683,1090.0,175.0
200,0.8,0.8,True,0.010325431823730469,195,0,16.148717948717948,71.0,1.0
200,1.0,0,False,0.01105356216430664,199,0,458.1356783919598,866.0,41.0
200,1.0,0,True,0.01125025749206543,199,0,458.1356783919598,866.0,41.0
200,1.0,0.1,False,0.012817144393920898,199,0,488.3819095477387,887.0,76.0
200,1.0,0.1,True,0.015225887298583984,199,0,58.482412060301506,180.0,1.0
200,1.0,0.5,False,0.01589226722717285,199,0,573.0753768844221,945.0,153.0
200,1.0,0.5,True,0.013554811477661133,188,0,13.292553191489361,48.0,1.0
200,1.0,0.8,False,0.013208389282226562,199,0,623.9145728643216,986.0,175.0
200,1.0,0.8,True,0.011708259582519531,187,0,14.074866310160427,45.0,1.0
500,0.2,0,False,0.05133986473083496,499,0,473.8176352705411,905.0,56.0
500,0.2,0,True,0.05120038986206055,499,0,473.8176352705411,905.0,56.0
500,0.2,0.1,False,0.05366945266723633,499,0,549.8196392785571,963.0,97.0
500,0.2,0.1,True,0.053369760513305664,499,0,131.17434869739478,307.0,4.0
500,0.2,0.5,False,0.048691749572753906,499,0,731.3507014028056,1165.0,122.0
500,0.2,0.5,True,0.04937005043029785,484,0,25.84710743801653,136.0,1.0
500,0.2,0.8,False,1.2108211517333984,499,0,832.1543086172345,1284.0,138.0
